Node, Version, Time
211, 0, 104759.73154418117
219, 0, 104759.73154418117
221, 0, 104759.73154418117
232, 0, 104759.73154418117
233, 0, 104759.73154418117
234, 0, 104759.73154418117
240, 0, 104759.73154418117
244, 0, 104759.73154418117
246, 0, 104759.73154418117
248, 0, 104759.73154418117
261, 0, 104759.73154418117
265, 0, 104759.73154418117
270, 0, 104759.73154418117
280, 0, 104759.73154418117
282, 0, 104759.73154418117
285, 0, 104759.73154418117
290, 0, 104759.73154418117
297, 0, 104759.73154418117
313, 0, 104759.73154418117
314, 0, 104759.73154418117
315, 0, 104759.73154418117
317, 0, 104759.73154418117
318, 0, 104759.73154418117
319, 0, 104759.73154418117
330, 0, 104759.73154418117
331, 0, 104759.73154418117
334, 0, 104759.73154418117
343, 0, 104759.73154418117
348, 0, 104759.73154418117
362, 0, 104759.73154418117
363, 0, 104759.73154418117
373, 0, 104759.73154418117
377, 0, 104759.73154418117
383, 0, 104759.73154418117
385, 0, 104759.73154418117
389, 0, 104759.73154418117
391, 0, 104759.73154418117
393, 0, 104759.73154418117
394, 0, 104759.73154418117
397, 0, 104759.73154418117
399, 0, 104759.73154418117
0, 0, 108359.73154418117
1, 0, 108359.73154418117
2, 0, 108359.73154418117
3, 0, 108359.73154418117
5, 0, 108359.73154418117
10, 0, 108359.73154418117
14, 0, 108359.73154418117
17, 0, 108359.73154418117
20, 0, 108359.73154418117
23, 0, 108359.73154418117
25, 0, 108359.73154418117
28, 0, 108359.73154418117
32, 0, 108359.73154418117
35, 0, 108359.73154418117
38, 0, 108359.73154418117
41, 0, 108359.73154418117
43, 0, 108359.73154418117
45, 0, 108359.73154418117
54, 0, 108359.73154418117
56, 0, 108359.73154418117
60, 0, 108359.73154418117
67, 0, 108359.73154418117
68, 0, 108359.73154418117
71, 0, 108359.73154418117
73, 0, 108359.73154418117
82, 0, 108359.73154418117
85, 0, 108359.73154418117
86, 0, 108359.73154418117
94, 0, 108359.73154418117
99, 0, 108359.73154418117
107, 0, 108359.73154418117
109, 0, 108359.73154418117
111, 0, 108359.73154418117
113, 0, 108359.73154418117
119, 0, 108359.73154418117
124, 0, 108359.73154418117
126, 0, 108359.73154418117
133, 0, 108359.73154418117
136, 0, 108359.73154418117
138, 0, 108359.73154418117
140, 0, 108359.73154418117
